date,open,high,low,close,average_price,day_variation,timeHigh,timeLow,volume,marketCap,circulatingSupply
2025-11-12,103011.43,105297.23,100836.61,101663.19,103066.92,-1.31%,12:23:00,19:29:00,64347179407.55,2028193369222.48,19947975.0
2025-11-11,105996.86,107428.26,102457.33,102997.47,104942.8,-2.83%,01:23:00,21:53:00,71130078574.37,2054823782940.53,19947531.0
2025-11-10,104723.77,106564.7,104350.65,105996.6,105457.67,1.22%,01:14:00,00:07:00,69585887229.14,2114307338734.65,19946887.0
2025-11-09,102278.98,105418.37,101468.88,104719.64,103443.62,2.39%,23:03:00,03:31:00,59679243012.82,2088873006728.9,19946503.0
2025-11-08,103371.7,103373.56,101458.04,102282.11,102415.8,-1.05%,00:00:00,14:20:00,51446691094.53,2040075678640.12,19946187.0
2025-11-07,101286.24,104052.92,99257.06,103372.41,101654.99,2.06%,22:09:00,12:56:00,92168030080.75,2061830246982.65,19945790.0
2025-11-06,103893.67,104147.3,100336.87,101301.29,102242.08,-2.5%,04:47:00,16:45:00,63932752860.8,2020190184566.83,19945356.0
2025-11-05,101579.24,104534.7,98989.92,103891.84,101762.31,2.28%,20:16:00,01:40:00,77584934803.74,2072068578561.24,19944128.0
2025-11-04,106541.42,107264.88,98962.06,101590.52,103113.47,-4.65%,04:06:00,21:37:00,110967184772.86,2025909299235.06,19944128.0
2025-11-03,110646.91,110764.92,105336.36,106547.52,108050.64,-3.7%,00:11:00,16:09:00,72852006359.15,2124870430622.27,19944078.0
2025-11-02,110064.43,111167.31,109523.46,110639.63,110345.38,0.52%,12:06:00,22:36:00,34284209458.94,2206703485500.82,19943653.0
2025-11-01,109558.63,110574.9,109372.95,110064.02,109973.92,0.46%,20:34:00,00:10:00,25871668761.94,2195031469846.04,19943150.0
2025-10-31,108304.41,111031.82,108288.27,109556.16,109660.05,1.16%,15:11:00,00:01:00,60090359559.55,2184893745051.09,19942690.0
2025-10-30,110059.2,111612.35,106376.69,108305.55,108994.52,-1.59%,07:20:00,20:00:00,69673964813.67,2159806960807.7,19942003.0
2025-10-29,112921.33,113642.72,109368.72,110055.3,111505.72,-2.54%,13:28:00,18:41:00,62192043468.67,2194776069999.38,19941778.0
2025-10-28,114129.09,116078.99,112291.68,112956.17,114185.34,-1.03%,14:22:00,21:09:00,64528066504.07,2251805068453.25,19941362.0
2025-10-27,114479.85,116273.31,113882.29,114119.32,115077.8,-0.31%,07:07:00,23:17:00,61761358733.17,2275835954529.27,19940893.0
2025-10-26,111639.05,115260.91,111268.49,114472.44,113264.7,2.54%,22:05:00,04:02:00,41708524143.03,2282777872258.63,19940434.0
2025-10-25,111032.61,111947.7,110704.41,111641.73,111326.06,0.55%,12:59:00,00:55:00,24707667305.22,2226078132793.31,19939959.0
2025-10-24,110069.35,111842.53,109770.15,111033.92,110806.34,0.88%,12:32:00,14:28:00,48160816980.41,2213928828746.43,19939446.0
2025-10-23,107679.44,111288.59,107548.43,110069.72,109418.51,2.22%,18:03:00,00:05:00,54944076060.09,2194660092834.64,19938884.0
2025-10-22,108491.53,109115.14,106778.0,107688.59,107946.57,-0.74%,15:08:00,21:31:00,80807013217.67,2146962722154.53,19938465.0
2025-10-21,110587.63,113996.35,107534.75,108476.89,110765.55,-1.91%,16:37:00,08:48:00,101194375480.17,2163102017753.36,19937981.0
2025-10-20,108667.44,111711.03,107485.01,110588.93,109598.02,1.77%,15:53:00,00:34:00,63507793084.59,2204868785654.89,19937518.0
2025-10-19,107204.31,109488.99,106157.79,108666.71,107823.39,1.36%,18:58:00,09:30:00,47657008952.53,2166469140315.34,19936690.0
2025-10-18,106483.74,107490.98,106387.45,107198.27,106939.22,0.67%,07:13:00,00:17:00,37779905278.47,2137288778462.57,19936593.0
2025-10-17,108179.13,109235.81,103598.43,106467.79,106417.12,-1.58%,04:03:00,10:25:00,99703051669.23,2122869968031.88,19936096.0
2025-10-16,110782.17,111990.81,107537.03,108186.04,109763.92,-2.34%,12:05:00,20:36:00,87306423067.48,2156578744337.95,19935256.0
2025-10-15,113113.97,113622.38,110235.84,110783.17,111929.11,-2.06%,02:31:00,17:17:00,72574132855.11,2208376792808.87,19934406.0
2025-10-14,115264.88,115502.88,110029.49,113118.67,112766.18,-1.86%,00:34:00,13:39:00,92212917403.23,2254859843995.83,19934406.0
2025-10-13,115161.68,116020.49,113821.19,115271.08,114920.84,0.09%,19:55:00,11:31:00,71582026738.87,2297709116995.09,19934165.0
2025-10-12,110811.51,115805.07,109715.54,115169.76,112760.3,3.93%,22:03:00,01:00:00,93710414090.64,2295493500275.05,19932790.0
